_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
1777255,DEM200021,VACANT RESIDENCE,405 N BEATTY ST,PITTSBURGH,15206,0,961,UNIS DEMOLITION COMPANY,BUILDING SHALL BE DEMOLISHED HORIZONTALLY BY REMOVING SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INOT TARPED TRUCKS.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS; LOADED TARPED AND SECURED,1500,f,2020-03-15,2020-04-15,ELIZABETH LETURGEY,t,f,2020-04-15,DEM,COMPLETE,40.4654903654602,-79.9249773548946
1777256,PAA170151,PLEASANT HILLS WASTEWATER TREATMENT PLANT - 628 COCHRAN MILL ROAD,,PLEASANT HILLS,15025,850,924,HUNT VALLEY ENVIRONMENTAL,CAP INSULATION;TANK WRAP;WATER TANK INSULATION;MUDDED FITTINGS AND PIPE INSULATION,1726,t,2017-03-21,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.3218969809604,-79.9573047385951
1777257,PAA140433,ALLEGHENY GENERAL HOSPITAL,320 EAST NORTH AVE.,PITTSBURGH,15212,650,929,"NOVA ENVIRONMENTAL SERVICES, INC.",CARPET;VCT/MASTICON 3RD FLOOR GROSSING LAB/PATHOLOGY RESIDENCE OFFICE - SOUTH TOWER,,t,2014-11-07,2014-12-31,JOE YAKUBISIN,t,f,2014-12-31,PAA,COMPLETE,40.457069446526,-80.0036975361617
1777258,PAA150093,SPRINGDALE MANOR,504 PITTSBURGH STREET,SPRINGDALE,15144,350,905,"BLT CONTRACTING, INC.",CEILING IN ROOMS 207 AND 307,730,t,2015-02-17,2015-12-31,JOE YAKUBISIN,t,f,2015-12-31,PAA,COMPLETE,40.5408823711945,-79.7860648178249
1777259,PAA150382,CARNEIGIE LIBRARY OF PITTSBURGH - KNOXVILLE,400 BROWNSVILLE ROAD,PITTSBURGH,15210,650,921,GRAY WASTE MANAGEMENT CORPORATION,CEILING PLASTER IN BASEMENT;STAIRS;MAIN FLOOR;WINDOW CAULKING ON MAIN FLOOR AND UPPER WINDOWS;TRANSITE IN BASEMENT AND ROOFONG,5020,f,2015-07-28,2015-12-31,JOE YAKUBISIN,t,f,2015-12-31,PAA,COMPLETE,40.4132526275658,-79.9891288578756
1777260,PAA160500,UNIVERSITY OF PITTSBURGH CATHEDRAL OF LEARNING,4200 5TH AVE,PITTSBURGH,15213,650,924,HUNT VALLEY ENVIRONMENTAL,CEILING PLASTER IN SUIT 355,360,t,2016-11-07,2016-12-31,JOE YAKUBISIN,t,f,2016-12-31,PAA,COMPLETE,40.4443102647694,-79.9531966404474
1777261,PAA160145,,4942  KINCAID ST,PITTSBURGH,15224,650,931,PHASE ONE DEVELOPMENT CORPORATION,CEILING PLASTER ON 2ND FLOOR AND CEILING TILE IN BASEMENT,2200,f,2016-03-29,2017-03-29,JOE YAKUBISIN,t,f,2017-03-29,PAA,COMPLETE,40.4672605652218,-79.9436549158565
1777262,PAA150141,THE OLIVER BUILDING,535 SMIYHFIELD STREET,PITTSBURGH,15222,150,927,KEY ASBESTOS ABATEMENT INC,CEILING TILE MASTIC AND FLOOR TILE/MASTIC ON 5TH FLOOR,1297,f,2015-03-16,2015-10-31,JOE YAKUBISIN,t,f,2015-10-31,PAA,COMPLETE,40.441402452878,-79.9980334031628
1777263,RES220030,RESIDENCE,4561  GATES DR,HOMESTEAD,15120,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT FLOOR TILE & MASTIC,480,t,2022-04-15,2022-09-02,CALI FEENEY,f,f,2022-09-02,RES,COMPLETE,40.3870947517451,-79.9196250574721
1777264,RES220057,RESIDENCE,118  OLD OAK DR,BRIDGEVILLE,15017,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT FLOOR TILE & MASTIC,192,t,2022-07-05,2022-09-30,DON HORGAN,f,f,2022-09-30,RES,COMPLETE,40.3380058446211,-80.1264893206009
1777265,PAA210504,VERIZON - CRAFTON CO,11 SIDNEY ST,PITTSBURGH,15205,850,908,"BRISTOL ENVIRONMENTAL, INC.",REMOVE BASEMENT FLOOR TILE & MASTIC AND ACM PIPE INSULATION,1850,t,2021-10-04,2022-04-30,JOE YAKUBISIN,t,t,2021-10-08,PAA,COMPLETE,40.4374012707959,-80.0623437420576
1777266,PAA224593,BOROUGH OF WILKINSBURG REGULATED PROPERTY,1109  SOUTH AVE,WILKINSBURG,15221,350,915,DJ DEMO COMPANY,ASSUMED,2000,f,2022-12-12,2022-12-23,CALI FEENEY,t,f,2022-12-23,PAA,COMPLETE,40.4397598294661,-79.8779883271437
1777267,PAA194706,VACANT RESIDENCE,716  NORTH AVE,WILKINSBURG,15221,350,915,DJ DEMO COMPANY,ASSUMED:  RAZE 2-1/2 STORY SINGLE FAMILY HOME; REMOVE ALL TRASH AND DEBRIS.  CLEAN OUT VOID AND BACKFILL WITH CLEAN MATERIAL.  LEVEL LOT WITH CONTOUR OF STREET; THEN SEED & STRAW THE LOT,2500,f,2019-10-17,2019-11-01,JOE YAKUBISIN,t,f,2019-11-01,PAA,COMPLETE,40.445025509415,-79.8830893921992
1777268,PAA140532,CVS PHARMACY,429 SMITHFIELD ST,PITTSBURGH,15222,350,924,HUNT VALLEY ENVIRONMENTAL,BASEMENT SIDEWALK VAULTS - TANK AND PIPE INSULATION,625,t,2014-12-29,2015-12-28,JOE YAKUBISIN,t,f,2015-12-28,PAA,COMPLETE,40.4393512820837,-79.9993539710263
1777269,PAA150290,SEWICKLEY ACADEMY,315 ACADEMY AVE,SEWICKLEY,15143,150,905,"BLT CONTRACTING, INC.",BLACK MASTIC IN WEIGHT ROOM,4000,t,2015-06-05,2015-12-31,DON HORGAN,t,f,2015-12-31,PAA,COMPLETE,40.544883512878,-80.1895717012964
1777270,PAA160571,US STEEL CLAIRTON - KEYSTONE BLDG. & BUG PLANT,400 STATE ST,CLAIRTON,15025,650,946,"THERMAL SOLUTIONS, INC.",BLACK MASTIC ON EXTERIOR OF BUILDING,100000,t,2016-12-14,2017-12-13,JOE YAKUBISIN,t,f,2017-12-13,PAA,COMPLETE,40.2940110111861,-79.8743163626466
1777271,PAA160183,TWO PNC PLAZA,620  LIBERTY AVE,PITTSBURGH,15222,650,908,"BRISTOL ENVIRONMENTAL, INC.",BLACK MASTIC ON FLOORS 1-8;10-17;20-23;25-29;9;18;19;24;30;31;33;34,54400,t,2016-04-20,2016-12-31,JOE YAKUBISIN,t,f,2016-12-31,PAA,COMPLETE,40.4418188313799,-80.0008354490418
1777272,PAA150502,WTAE STUDIO FACILITY,400 ARDMORE BLVD.,PITTSBURGH,15221,350,941,"PRISM RESPONSE, LLC DBA ALLOY",CHILLER INSULATION ON 2ND FLOOR CHILLER ROOM AND PIPE FITTINGS IN BASEMENT AND MAIN LOBBY,300,t,2015-10-21,2015-12-30,JOE YAKUBISIN,t,f,2015-12-30,PAA,COMPLETE,40.4358420151255,-79.8686704853968
1777273,PAA140165,U.S.STEEL EDGAR THOMPSON WORKS,1300 BRADDOCK AVE,BRADDOCK,15104,650,940,"SPECTRUM ENVIRONMENTAL, LLC",COIL TAPE WRAP AND COIL WEDGES,1000,t,2014-04-25,2014-04-30,JOE YAKUBISIN,t,f,2014-04-30,PAA,COMPLETE,40.396500204663,-79.8533340829404
1777274,PAA214412,VACANT RESIDENCE,3403  BATES ST,PITTSBURGH,15213,350,901,"ABMECH ACQUISITIONS, LLC",CONDEMNED - ALL MATERIAL TREATED AS ACM,1500,f,2021-07-31,2021-09-30,JOE YAKUBISIN,t,f,2021-09-30,PAA,COMPLETE,40.435217193919,-79.9563896582702
1777275,PAA214413,VACANT RESIDENCE,3405  BATES ST,PITTSBURGH,15213,350,901,"ABMECH ACQUISITIONS, LLC",CONDEMNED - ALL MATERIAL TREATED AS ACM,1500,f,2021-07-31,2021-09-30,JOE YAKUBISIN,t,f,2021-09-30,PAA,COMPLETE,40.4352738427281,-79.9563682681448
1777276,PAA214420,VACANT RESIDENCE,3419  BATES ST,PITTSBURGH,15213,350,901,"ABMECH ACQUISITIONS, LLC",CONDEMNED ? ALL MATERIAL BEING TREATED AS ACM,1500,f,2021-07-31,2021-09-30,JOE YAKUBISIN,t,f,2021-09-30,PAA,COMPLETE,40.4356717233497,-79.9562257645978
1777277,PAA214421,VACANT RESIDENCE,3421  BATES ST,PITTSBURGH,15213,350,901,"ABMECH ACQUISITIONS, LLC",CONDEMNED ? ALL MATERIAL BEING TREATED AS ACM,1500,f,2021-07-31,2021-09-30,JOE YAKUBISIN,t,f,2021-09-30,PAA,COMPLETE,40.435728740588,-79.9562064845618
1777278,PAA170122,BREWHOUSE - 2100 MARY STREET,,PITTSBURGH,15203,450,931,PHASE ONE DEVELOPMENT CORPORATION,CORK MASTIC ON GROUND FLOOR GARAGE AREA,300,t,2017-03-02,2018-03-02,JOE YAKUBISIN,t,f,2018-03-02,PAA,COMPLETE,40.4302967313938,-79.9951092466049
1777279,RES200003,RESIDENCE,111  OVERLOOK DR,PITTSBURGH,15216,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",COURTESY NOTIFICATION - PIPE INSULATION IN BASEMENT,50,t,2020-01-13,2020-01-14,ELIZABETH LETURGEY,t,f,2020-01-14,RES,COMPLETE,40.3887589095575,-80.0507165221603
1777280,RES200004,RESIDENCE,857  ASHDALE ST,PITTSBURGH,15210,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",COURTESY NOTIFICATION - REMOVE DUCT SEAM TAPE IN BASEMENT,5,t,2020-01-14,2020-01-15,ELIZABETH LETURGEY,t,f,2020-01-15,RES,COMPLETE,40.4144309456998,-79.9993586862894
1777281,PAA140344,ROSS PRESBYTERIAN SENIOR HOUSING,250 NAZARETH WAY,PITTSBURGH,15229,150,931,PHASE ONE DEVELOPMENT CORPORATION,BOILER BREECHING IN BOILER ROOM,200,t,2014-08-11,2014-05-27,JOE YAKUBISIN,t,f,2014-05-27,PAA,COMPLETE,40.5089548780421,-80.0421271252106
1777282,PAA150481,BOYD COMMUNITY CENTER,1220 POWERS RUN RD,PITTSBURGH,15238,650,957,"RITENOUR AND SONS CONSTRUCTION COMPANY, INC.",BOILER INSULATION; PIPE FITTINGS; FLOOR TILE AND MASTIC; COVE BASE; WINDOWS AND ROOF FLASHING,42000,t,2015-09-25,2015-12-31,JOE YAKUBISIN,t,f,2015-12-31,PAA,COMPLETE,40.5137311038309,-79.8571641393711
1777283,PAA170145,,2548  PERRYSVILLE AVE,PITTSBURGH,15214,850,921,GRAY WASTE MANAGEMENT CORPORATION,BUILDING DEBRIS,,f,2017-03-23,2017-03-30,JOE YAKUBISIN,t,f,2017-03-30,PAA,COMPLETE,40.4709899821354,-80.0085808988672
1777284,PAA194358,VACANT RESIDENCE,512  LARIMER AVE,PITTSBURGH,15206,1850,921,GRAY WASTE MANAGEMENT CORPORATION,BUILDING IS UNSAFE ALL MATERIALS BEING TREATED AS ACM,10000,f,2019-07-08,2020-06-11,JOE YAKUBISIN,t,f,2020-06-11,PAA,COMPLETE,40.4654449505355,-79.9140756478377
1777285,DEM190284,VACANT RESIDENCE,3721  BUTLER ST,PITTSBURGH,15201,0,961,UNIS DEMOLITION COMPANY,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,,f,2019-10-21,2019-11-20,JOE YAKUBISIN,t,f,2019-11-20,DEM,COMPLETE,40.4666799065977,-79.9644160993234
1777286,DEM192080,VACANT RESIDENCE,100  BROSVILLE ST,PITTSBURGH,15203,0,961,UNIS DEMOLITION COMPANY,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,,f,2019-10-22,2019-11-30,JOE YAKUBISIN,t,f,2019-11-30,DEM,COMPLETE,40.4247979180864,-79.9855740491254
1777287,PAA150454,MCDONALD'S - ROUTE 286,2409 GOLDEN MILE HIGHWAY,PLUM,15239,150,908,"BRISTOL ENVIRONMENTAL, INC.",CAULKING IN PLAYROOM AND FLASHING,245,f,2015-09-14,2015-10-31,JOE YAKUBISIN,t,f,2015-09-30,PAA,COMPLETE,40.4649828116931,-79.7058201790388
1777288,PAA150227,CCAC WEST HALL,826 RIDGE AVE.,PITTSBURGH,15212,650,905,"BLT CONTRACTING, INC.",CAULKING ON ALL WINDOWS,2400,f,2015-05-11,2015-12-31,JOE YAKUBISIN,t,f,2015-12-31,PAA,COMPLETE,40.4503667718309,-80.0146231614848
1777289,PAA150033,THREE HIERARCHS EASTERN ORTHODOX SCHOOL,1819 ELLWORTH AVE.,PITTSBURGH,15106,150,929,"NOVA ENVIRONMENTAL SERVICES, INC.",CAULKING ON EXTERIOR WINDOWS,96,f,2015-01-07,2015-03-31,JOE YAKUBISIN,t,f,2015-03-31,PAA,COMPLETE,40.3898940616444,-80.0907762909353
1777290,PAA150473,DAKOTA LOUNGE,3936 MONROEVILLE BLVD.,MONROEVILLE,15146,650,931,PHASE ONE DEVELOPMENT CORPORATION,CAULKING ON WINDOWS;FLOOR TILE/LINOLEUM ON LOWER LEVEL AND ROOFING,2115,f,2015-09-29,2016-09-29,JOE YAKUBISIN,t,f,2016-09-29,PAA,COMPLETE,40.4370769503199,-79.7773015113224
1777291,PAA160422,MONTOUR PRESBYTERIAN CHURCH,3151 MONTOUR CHURCH RD,OAKDALE,15071,150,941,"PRISM RESPONSE, LLC DBA ALLOY",CEILING IN BOILER ROOM,180,t,2016-09-20,2016-10-30,JOE YAKUBISIN,t,f,2016-10-30,PAA,COMPLETE,40.4484502671794,-80.1716192673526
1777292,PAA170059,DUQUESNE CLUB,325  6TH AVE,PITTSBURGH,15222,850,903,"AMERICAN INDUSTRIAL CONTRACTING, INC.",CEILING ON 1ST FLOOR PATIO ROOM,1600,t,2017-01-24,2017-03-30,JOE YAKUBISIN,t,f,2017-03-30,PAA,COMPLETE,40.4421355489082,-79.9984736562728
1777293,PAA160439,WOMEN'S CENTER AND SHELTER OF GREATER PITTSBURGH,4760 CENTRE AVE,PITTSBURGH,15213,650,901,"ABMECH ACQUISITIONS, LLC",CEILING PLASTER IN ELECTRICAL ROOM AND 1ST FLOOR RECEIVING AREA;BOILER PACKING IN BOILER VAULT AND BOILER GASKET,1854,t,2016-09-21,2016-12-31,JOE YAKUBISIN,t,f,2016-12-31,PAA,COMPLETE,40.4529570687013,-79.9473045206239
1777294,PAA160585,SUNRISE INN,4155 WILLIAM PENN HWY,MONROEVILLE,15146,650,908,"BRISTOL ENVIRONMENTAL, INC.",CEILING PLASTER IN GUEST ROOMS;FLOOR TILE/MASTIC IN ENTIRE BUILDING;ROOFING AND CAULKING/GLAZE ON WINDOW AND DOORS,21086,f,2016-12-19,2017-01-20,JOE YAKUBISIN,t,f,2017-01-20,PAA,COMPLETE,40.4392672195079,-79.7653148320233
1777295,PAA170243,CMU - MOREWOOD GARDENS,5000 FORBES AVE,PITTSBURGH,15213,850,927,KEY ASBESTOS ABATEMENT INC,CEILING PLASTER IN MECHANICAL ROOM AND PIPE INSULATION IN MECHANICAL ROOM AND ADJACENT HALLWAY,2250,t,2017-05-18,2017-07-31,JOE YAKUBISIN,t,f,2017-07-31,PAA,COMPLETE,40.4442129846549,-79.94339909741
1777296,PAA160560,SUNRISE INN,4155 WILLIAM PENN HWY,MONROEVILLE,15146,650,908,"BRISTOL ENVIRONMENTAL, INC.",CEILING PLASTER IN ROOMS 1 THROUGH 53;FLOOR TILE/MASTIC THROUGHOUT;CAULKING/GLAZING ON DOORS/WINDOWS AND ROOFING,42173,f,2016-12-08,2017-02-15,JOE YAKUBISIN,t,f,2017-02-15,PAA,COMPLETE,40.4392672195079,-79.7653148320233
1777297,PAA150073,NORTHWAY MALL,8000 MCKNIGHT ROAD,ROSS TOWNSHIP,15237,650,943,PRECISION ENVIRONMENTAL COMPANY,CEILING;CAULKING;SEALANT;SINK COATING;LINOLEUM;PANEL ADHESIVE AND FLASHING,3997,t,2015-02-01,2015-12-02,JOE YAKUBISIN,t,f,2015-07-02,PAA,COMPLETE,,
1777298,PAA140188,,669 MIFFLIN RD,PITTSBURGH,15207,150,956,A. W. MCNABB LLC,CHIMNEY CAULKING;PIPE INSULATION IN CRAWSPACE AND WOODEN R&R SAFT IN BEDROOM,280,f,2014-05-14,2014-07-14,JOE YAKUBISIN,t,f,2014-07-14,PAA,COMPLETE,40.381532327074,-79.9278553531279
1777299,DEM190009,VACANT RESIDENCE,215 W 14TH AVE,HOMESTEAD,15120,0,915,DJ DEMO COMPANY,DEMO IN PLACE,,f,2019-02-01,2019-04-30,MARC ITKIN,t,f,2019-04-30,DEM,COMPLETE,40.4132394866737,-79.840724432409
1777300,DEM190010,VACANT RESIDENCE,221 W 14TH AVE,HOMESTEAD,15120,0,915,DJ DEMO COMPANY,DEMO IN PLACE,,f,2019-02-01,2019-04-30,MARC ITKIN,t,f,2019-04-30,DEM,COMPLETE,40.4038835258767,-79.9058197086064
1777301,DEM190018,VACANT RESIDENCE,1211  GLENN ST,HOMESTEAD,15120,0,915,DJ DEMO COMPANY,DEMO IN PLACE,2500,f,2019-02-01,2019-04-30,MARC ITKIN,t,f,2019-04-30,DEM,COMPLETE,40.4043200042684,-79.9072077595276
1777302,DEM190019,VACANT RESIDENCE,140 W 9TH AVE,HOMESTEAD,15120,0,915,DJ DEMO COMPANY,DEMO IN PLACE,2500,f,2019-02-01,2019-04-30,MARC ITKIN,t,f,2019-04-30,DEM,COMPLETE,40.4060673232457,-79.9101965063285
1777303,DEM190032,VACANT RESIDENCE,358 W 11TH AVE,HOMESTEAD,15120,0,915,DJ DEMO COMPANY,DEMO IN PLACE,2500,f,2019-02-01,2019-04-30,MARC ITKIN,t,f,2019-04-30,DEM,COMPLETE,40.4013705222889,-79.9135821762738
1777304,PAA194104,VACANT RESIDENCE,356 W 11TH AVE,HOMESTEAD,15120,350,915,DJ DEMO COMPANY,DEMO IN PLACE,2500,f,2019-02-16,2019-12-31,JOE YAKUBISIN,t,f,2019-12-31,PAA,COMPLETE,40.414388039655,-79.8389537999799
1777305,PAA194105,VACANT RESIDENCE,107 W 13TH AVE,HOMESTEAD,15120,350,915,DJ DEMO COMPANY,DEMO IN PLACE,2500,f,2019-02-16,2019-12-31,JOE YAKUBISIN,t,f,2019-12-31,PAA,COMPLETE,40.4105489654679,-79.8419690857584
1777306,PAA234054,CITY OF MCKEESPORT REGULATED PROPERTY,908 SOLES STREET,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",DEMO IN PLACE - UNSAFE STRUCTURE,200,,2023-01-23,2024-01-23,JOE YAKUBISIN,,,,PAA,ACTIVE,40.3476778080122,-79.8488429851229
1777307,PAA234059,CITY OF MCKEESPORT REGULATED PROPERTY,1015 SOLES STREET,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",DEMO IN PLACE - UNSAFE STRUCTURE,330,,2023-01-23,2024-01-23,JOE YAKUBISIN,,,,PAA,ACTIVE,40.3468803955318,-79.8484370875654
1777308,PAA170260,COLLASPED RESIDENCE,212  CARRINGTON ST,PITTSBURGH,15212,850,920,GENERAL CONTRACTING CORP. OF AMERICA,CITY ORDERED EMERGENCY DEMOLITION - COLLASPED STRUCTURE,800,f,2017-05-16,2017-05-19,JOE YAKUBISIN,t,f,2017-05-19,PAA,COMPLETE,40.4587214532996,-80.0103493012921
1777309,PAA170225,609 BROWNSVILLE ROAD,,MT OLIVER,15210,850,901,"ABMECH ACQUISITIONS, LLC",COLLAPSED BUILDING,40000,f,2017-05-09,2017-10-01,JOE YAKUBISIN,t,f,2017-10-01,PAA,COMPLETE,40.4085360141221,-79.9908560978525
1777310,PAA224325,MUNICIPALITY REGULATED PROPERTY,317 XAVIER LN,MCCANDLESS,15237,350,937,TOM SIPES DEMOLITION COMPANY,COLLAPSED STRUCTURE,600,f,2022-07-25,2023-01-01,JOE YAKUBISIN,t,f,2023-01-01,PAA,COMPLETE,40.5604709365156,-80.03325138138
1777311,PAA170639,219 TRAYMORE AVENUE,219  TRAYMORE AVE,PITTSBURGH,15216,850,920,GENERAL CONTRACTING CORP. OF AMERICA,COLLASPED STRUCTURE UNSAFE TO SURVEY ALL MATERIAL  TREATED AS ACM,925,f,2017-12-01,2017-12-15,JOE YAKUBISIN,t,f,2017-12-15,PAA,COMPLETE,40.4119800409167,-80.0140034281386
1777312,RES220025,RESIDENCE,118  WOODLAND RD,PITTSBURGH,15232,0,,,COMPLETE DEMOLITION OF A TWO STORY RESIDENTIAL HOUSE,3040,f,2022-04-12,2022-04-26,ELIZABETH LETURGEY,f,f,2022-04-26,RES,COMPLETE,40.4453218285175,-79.9221408152772
1777313,PAA214414,VACANT RESIDENCE,3407  BATES ST,PITTSBURGH,15213,350,901,"ABMECH ACQUISITIONS, LLC",CONDEMNED - ALL MATERIAL BEING TREATED AS ACM,1500,f,2021-07-31,2021-09-30,JOE YAKUBISIN,t,f,2021-09-30,PAA,COMPLETE,40.4353304915326,-79.9563468779836
1777314,PAA160573,815 PROCTOR WAY,,PITTSBURGH,15210,650,920,GENERAL CONTRACTING CORP. OF AMERICA,ORDERED DEMOLITION - ALL DEBRIS ACM,,f,2016-12-01,2016-12-05,JOE YAKUBISIN,t,f,2016-12-05,PAA,COMPLETE,40.4165098734393,-80.011548032782
1777315,PAA160574,5442 KINCAID,,PITTSBURGH,15206,650,920,GENERAL CONTRACTING CORP. OF AMERICA,ORDERED DEMOLITION - ALL DEBRIS ACM,,f,2016-12-01,2016-12-04,JOE YAKUBISIN,t,f,2016-12-04,PAA,COMPLETE,40.4635841005534,-79.9368308315931
1777316,PAA150544,ALLEGHENEY COUNTRY CLUB - TENNIS BUILDING,250 COUNTRY CLUB ROAD,SEWICKLEY,15143,150,905,"BLT CONTRACTING, INC.",PIPE INSULATION,180,t,2015-11-16,2015-12-31,JOE YAKUBISIN,t,f,2015-12-31,PAA,COMPLETE,40.5614913581908,-80.1647211044954
1777317,PAA234075,CITY OF MCKEESPORT REGULATED PROPERTY,1621 COLFAX STREET,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",DEMO IN PLACE - UNSAFE STRUCTURE,650,,2023-01-23,2024-01-23,JOE YAKUBISIN,,,,PAA,ACTIVE,40.3480362446567,-79.8539035452257
1777318,PAA224468,CITY OF MCKEESPORT REGULATED PROPERTY,3508  MAYFAIR ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",DEMO IN PLACE UNSAFE STRUCTURE,7700,f,2022-10-24,2023-10-24,JOE YAKUBISIN,f,f,2023-10-24,PAA,EXPIRED,40.3394295097938,-79.8357983344637
1777319,PAA224469,CITY OF MCKEESPORT REGULATED PROPERTY,3406  STEELE ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",DEMO IN PLACE UNSAFE STRUCTURE,6000,f,2022-10-24,2023-10-24,JOE YAKUBISIN,f,f,2023-10-24,PAA,EXPIRED,40.338681683421,-79.8385235070911
1777320,PAA224478,CITY OF MCKEESPORT REGULATED PROPERTY,635  PALM ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",DEMO IN PLACE UNSAFE STRUCTURE,1200,f,2022-10-24,2023-10-24,JOE YAKUBISIN,f,f,2023-10-24,PAA,EXPIRED,40.3323962599354,-79.8275270291661
1777321,RES210069,RESIDENCE,301  WILLIAM ST,MILLVALE,15209,0,961,UNIS DEMOLITION COMPANY,DEMOLISH BUILDING - NO ACM FOUND,,f,2021-07-12,2021-08-31,ELIZABETH LETURGEY,t,f,2021-08-31,RES,COMPLETE,40.4824256536629,-79.9757017400572
1777322,DEM200140,HILLSDALE MUNICIPLE BUILDING DORMONT,1444 HILLSDALE AVE,PITTSBURGH,15216,0,950,CONTINENTAL CONSTRUCTION & DEMOLITION,DEMOLISH ENTIRE BUILDING,10000,f,2020-09-17,2020-10-28,ELIZABETH LETURGEY,t,f,2020-10-28,DEM,COMPLETE,40.3945807537358,-80.0372867942674
1777323,DEM220068,WILKINS TOWNSHIP,875  LARIMER AVE,TURTLE CREEK,15145,0,,,DEMOLISH ENTIRE BUILDING,,f,2022-05-13,2023-05-12,ELIZABETH LETURGEY,f,f,2023-05-12,DEM,COMPLETE,40.4181593439267,-79.8210207693886
1777324,DEM220067,WILKINS TOWNSHIP - 421 CLINE STREET,,TURTLE CREEK,15145,0,,,DEMOLISH ENTIRE STRUCTURE,,f,2022-05-13,2023-05-12,ELIZABETH LETURGEY,f,f,2023-05-12,DEM,COMPLETE,40.4006904629027,-79.8332296042286
1777325,PAA170262,419 PARK AVENUE CLAIRTON,419  PARK AVE,CLAIRTON,15025,850,915,DJ DEMO COMPANY,DEMOLISH SINGLE FAMILY HOME. REMOVE ALL TRASH AND DEBRI; CLEAN BASEMENT VOID. BREAK UP CONCRETE SLAB AND BACKFILL WITH CLEAN MATERIAL. LEVEL LOT WITH CONTOUR OF STREET; SPREAD GRASS SEED AND STRAW.,3256,f,2017-05-23,2017-05-31,JOE YAKUBISIN,t,f,2017-05-31,PAA,COMPLETE,40.2952692768251,-79.8834917836199
1777326,RES210081,RESIDENCE,46 S 22ND ST,PITTSBURGH,15203,0,961,UNIS DEMOLITION COMPANY,DEMOLISH STRUCTURE - NO ACM FOUND,,f,2021-09-06,2021-09-26,CALI FEENEY,t,f,2021-09-26,RES,COMPLETE,40.4298574397993,-79.9745083755474
1777327,DEM190123,VACANT RESIDECE,515  WHITE ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH STRUCTURE AND GRADE LOT,800,f,2019-05-20,2019-05-25,MARC ITKIN,t,f,2019-05-25,DEM,COMPLETE,40.3514298677363,-79.852677056327
1777328,DEM190124,VACANT RESIDENCE,527  WHITE ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH STRUCTURE AND GRADE LOT,700,f,2019-05-20,2019-05-25,MARC ITKIN,t,f,2019-05-25,DEM,COMPLETE,40.3509751803009,-79.8526467588866
1777329,DEM190131,VACANT RESIDENCE,709  JENNY LIND ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH STRUCTURE AND GRADE LOT,700,f,2019-05-13,2019-05-18,MARC ITKIN,t,f,2019-05-18,DEM,COMPLETE,40.349415518716,-79.861537464843
1777330,DEM190132,VACANT RESIDENCE,749  JENNY LIND ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH STRUCTURE AND GRADE LOT,800,f,2019-05-13,2019-05-18,MARC ITKIN,t,f,2019-05-18,DEM,COMPLETE,40.3480450611387,-79.8615202446379
1777331,DEM190139,VACANT RESIDENCE,1215  JENNY LIND ST,MCKEESPORT,15132,0,941,"PRISM RESPONSE, LLC DBA ALLOY",DEMOLISH STRUCTURE AND GRADE LOT,800,f,2019-05-13,2019-05-18,MARC ITKIN,t,f,2019-05-18,DEM,COMPLETE,40.3434923525347,-79.8608094726294
